Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,TotalPrice
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009/12/01,6.95,13085,United Kingdom,83.4
489435,22350,CAT BOWL ,12,2009/12/01,2.55,13085,United Kingdom,30.6
489436,48173C,DOOR MAT BLACK FLOCK ,10,2009/12/01,5.95,13078,United Kingdom,59.5
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,2009/12/01,2.1,15362,United Kingdom,12.6
489438,21329,DINOSAURS  WRITING SET ,28,2009/12/01,0.98,18102,United Kingdom,27.44
489439,22065,CHRISTMAS PUDDING TRINKET POT ,12,2009/12/01,1.45,12682,France,17.4
489441,22321,BIRD DECORATION RED SPOT,12,2009/12/01,0.72,18087,United Kingdom,8.64
489442,21955,UNION JACK GUNS & ROSES  DOORMAT,2,2009/12/01,6.75,13635,United Kingdom,13.5
489443,20754,RETRO RED SPOTTY WASHING UP GLOVES,6,2009/12/01,2.1,14110,United Kingdom,12.6
489444,POST,POSTAGE,1,2009/12/01,141,12636,USA,141
489445,35916C,PINK FELT HANGING HEART W FLOWER,12,2009/12/01,0.85,17519,United Kingdom,10.2
489446,21733,RED HANGING HEART T-LIGHT HOLDER,32,2009/12/01,2.55,13758,United Kingdom,81.6
489448,20827,GOLD APERITIF GLASS,48,2009/12/01,2.12,15413,United Kingdom,101.76
489460,79323P,PINK CHERRY LIGHTS,8,2009/12/01,6.75,16167,United Kingdom,54
489461,21668,RED STRIPE CERAMIC DRAWER KNOB,24,2009/12/01,1.25,17865,United Kingdom,30
489462,90200D,PINK SWEETHEART BRACELET,3,2009/12/01,4.25,17592,United Kingdom,12.75
489465,21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",12,2009/12/01,4.95,13767,United Kingdom,59.4
489488,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,1,2009/12/01,4.65,17238,United Kingdom,4.65
489505,21472,LADYBIRD + BEE RAFFIA FOOD COVER,6,2009/12/01,3.75,15712,United Kingdom,22.5
489514,21791,VINTAGE HEADS AND TAILS CARD GAME ,72,2009/12/01,1.06,15311,United Kingdom,76.32
489517,21705,BAG 500g SWIRLY MARBLES,1,2009/12/01,1.65,16329,United Kingdom,1.65
489519,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,2009/12/01,2.95,17700,United Kingdom,35.4
489520,35751C,PURPLE CURRENT CANDLE RING,12,2009/12/01,0.75,14911,EIRE,9
489522,21916,SET 12 RETRO WHITE CHALK STICKS,3,2009/12/01,0.42,15998,United Kingdom,1.26
489523,84879,ASSORTED COLOUR BIRD ORNAMENT,800,2009/12/01,1.45,12931,United Kingdom,1160
489526,85049E,SCANDINAVIAN REDS RIBBONS,12,2009/12/01,1.25,12533,Germany,15
489529,85063,CREAM SWEETHEART MAGAZINE RACK,1,2009/12/01,16.95,17984,United Kingdom,16.95
489531,79029,GLASS HONEYPOT WASP CATCHER,1,2009/12/01,1.95,14871,United Kingdom,1.95
489532,85049D,BRIGHT BLUES RIBBONS ,12,2009/12/01,1.25,13394,United Kingdom,15
489533,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,1,2009/12/01,16.95,16011,United Kingdom,16.95
489536,21375,LARGE CAMPHOR WOOD FIELD MUSHROOM ,2,2009/12/01,5.45,16393,United Kingdom,10.9
489537,48129,DOOR MAT TOPIARY,1,2009/12/01,6.75,14040,United Kingdom,6.75
489540,21732,RED HANGING METAL STAR TLIGHT HLDR,24,2009/12/01,3.39,12913,United Kingdom,81.36
489542,37410,BLACK AND WHITE PAISLEY FLOWER MUG,216,2009/12/01,0.85,15061,United Kingdom,183.6
489545,90062,CARNIVAL BRACELET,1,2009/12/01,12.75,17804,United Kingdom,12.75
489546,84050,PINK HEART SHAPE EGG FRYING PAN,6,2009/12/01,1.65,14156,EIRE,9.9
489550,48187,DOOR MAT NEW ENGLAND,2,2009/12/01,6.75,14156,EIRE,13.5
489556,20866,BLUE ROSE FABRIC MIRROR,2,2009/12/01,1.25,15719,United Kingdom,2.5
489557,21439,BASKET OF TOADSTOOLS,12,2009/12/01,1.25,12490,France,15
489558,84946,ANTIQUE SILVER TEA GLASS ETCHED,72,2009/12/01,1.06,15793,United Kingdom,76.32
489559,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2009/12/01,4.95,17056,United Kingdom,9.9
489560,17164D,ASS COL SMALL SAND FROG P'WEIGHT,288,2009/12/01,0.37,13526,United Kingdom,106.56
489561,16169D,WRAP WINTER FOREST,25,2009/12/01,0.42,14654,United Kingdom,10.5
489562,22336,DOVE DECORATION PAINTED ZINC ,1,2009/12/01,0.65,17998,United Kingdom,0.65
489564,90090,PINK CRYSTAL HEART PHONE CHARM,36,2009/12/01,0.85,13526,United Kingdom,30.6
489566,20901,VINTAGE KEEPSAKE BOX PINK FLOWER,6,2009/12/01,6.35,17742,United Kingdom,38.1
489569,22415,WHITE TISSUE REAM,1,2009/12/01,7.95,14478,United Kingdom,7.95
489571,22189,CREAM HEART CARD HOLDER,2,2009/12/01,3.95,15967,United Kingdom,7.9
489572,22081,RIBBON REEL FLORA + FAUNA ,5,2009/12/01,1.65,17611,United Kingdom,8.25
489574,21524,SPOTTY  HOME SWEET HOME DOORMAT,2,2009/12/01,6.75,13097,United Kingdom,13.5
489575,35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,96,2009/12/01,0.19,13590,United Kingdom,18.24
489579,35001G,HAND OPEN SHAPE GOLD,2,2009/12/01,4.25,16887,United Kingdom,8.5
489580,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009/12/01,1.25,12921,United Kingdom,30
489581,85174,S/4 CACTI CANDLES,1,2009/12/01,4.95,15945,United Kingdom,4.95
489582,72799B,PURPLE PILLAR CANDLE BLACK FLOCK,10,2009/12/01,2.95,14543,United Kingdom,29.5
489584,21335,LIBRARY LAMP,1,2009/12/01,21.95,18037,United Kingdom,21.95
489585,84832,ZINC WILLIE WINKIE  CANDLE STICK,24,2009/12/01,0.85,15662,United Kingdom,20.4
